"EnsemblID","GeneName","Hsap","Anan","Capa","Caty","Ccap","Cjac","Csab","Ggor","Mfas","Mleu","Mmul","Mmur","Mnem","Nleu","Ogar","Ppyg","Panu","Pcoq","Ppan","Psim","Ptep","Ptro","Rbie","Rrox","Sbbo","Tgel","Tsyr","number.of.NAs"
"ENSG00000101040","ZMYND8","ENST00000471951.6","ENSANAT00000026646.1","ENSCANT00000062401.1","ENSCATT00000069045.1","ENSCCAT00000051984.1","ENSCJAT00000032740.3","ENSCSAT00000012986.1","ENSGGOT00000043071.1","ENSMFAT00000031635.1","ENSMLET00000062523.1","ENSMMUT00000045065.3","ENSMICT00000058207.1","ENSMNET00000046201.1","ENSNLET00000008824.3","ENSOGAT00000012700.2","ENSPPYT00000012890.1","ENSPANT00000033409.1","ENSPCOT00000017490.1","ENSPPAT00000032732.1","ENSPSMT00000017965.1","ENSPTET00000038459.1","ENSPTRT00000102912.1","ENSRBIT00000059595.1","ENSRROT00000063392.1","ENSSBOT00000048154.1","ENSTGET00000025594.1","ENSTSYT00000033004.1",0
"ENSG00000101057","MYBL2","ENST00000217026.5","ENSANAT00000018333.1","ENSCANT00000005050.1","ENSCATT00000067062.1","ENSCCAT00000033973.1","ENSCJAT00000034767.3","ENSCSAT00000012156.1","ENSGGOT00000022947.2","ENSMFAT00000069387.1","ENSMLET00000063988.1","ENSMMUT00000068924.2","ENSMICT00000000330.3","ENSMNET00000062336.1","ENSNLET00000008378.3","ENSOGAT00000007706.2","ENSPPYT00000012791.1","ENSPANT00000011788.2","ENSPCOT00000042628.1","ENSPPAT00000059766.1","ENSPSMT00000000280.1","ENSPTET00000029004.1","ENSPTRT00000093622.1","ENSRBIT00000041770.1","ENSRROT00000038204.1","ENSSBOT00000045839.1","ENSTGET00000032616.1","ENSTSYT00000002403.2",0
"ENSG00000101076","HNF4A","ENST00000316099.9","ENSANAT00000029634.1","ENSCANT00000033978.1","ENSCATT00000061131.1","ENSCCAT00000040190.1","ENSCJAT00000034644.4","ENSCSAT00000012222.1","ENSGGOT00000007019.4","ENSMFAT00000034446.1","ENSMLET00000050801.1","ENSMMUT00000009067.4","ENSMICT00000008242.3","ENSMNET00000066845.1","ENSNLET00000008421.2","ENSOGAT00000030715.1","ENSPPYT00000012800.2","ENSPANT00000018515.2","ENSPCOT00000039361.1","ENSPPAT00000052766.1","ENSPSMT00000018774.1","ENSPTET00000030164.1","ENSPTRT00000096740.1","ENSRBIT00000048660.1","ENSRROT00000036230.1","ENSSBOT00000054937.1","ENSTGET00000032038.1","ENSTSYT00000048970.1",0
"ENSG00000101082","SLA2","ENST00000262866.9","ENSANAT00000039169.1","ENSCANT00000063606.1","ENSCATT00000046602.1","ENSCCAT00000027703.1","ENSCJAT00000078389.2",NA,"ENSGGOT00000023552.2","ENSMFAT00000023326.1","ENSMLET00000063506.1","ENSMMUT00000110068.1","ENSMICT00000062092.1","ENSMNET00000050184.1","ENSNLET00000007800.3","ENSOGAT00000000893.2","ENSPPYT00000012736.2","ENSPANT00000013581.2","ENSPCOT00000015155.1","ENSPPAT00000050278.1","ENSPSMT00000031400.1","ENSPTET00000020791.1","ENSPTRT00000025033.3","ENSRBIT00000040495.1","ENSRROT00000043528.1","ENSSBOT00000053355.1","ENSTGET00000003016.1",NA,2
"ENSG00000101096","NFATC2","ENST00000371564.8","ENSANAT00000052785.1","ENSCANT00000031435.1","ENSCATT00000064970.1","ENSCCAT00000032108.1","ENSCJAT00000001059.3","ENSCSAT00000013326.1","ENSGGOT00000023516.2","ENSMFAT00000001335.1","ENSMLET00000044293.1","ENSMMUT00000105635.1","ENSMICT00000060079.1","ENSMNET00000045972.1","ENSNLET00000008945.2","ENSOGAT00000013791.2","ENSPPYT00000012930.1","ENSPANT00000039601.1","ENSPCOT00000026067.1","ENSPPAT00000058778.1","ENSPSMT00000021188.1","ENSPTET00000016336.1","ENSPTRT00000095125.1","ENSRBIT00000033942.1","ENSRROT00000064157.1","ENSSBOT00000030215.1","ENSTGET00000021908.1","ENSTSYT00000048815.1",0
"ENSG00000101115","SALL4","ENST00000217086.9","ENSANAT00000028568.1","ENSCANT00000049085.1","ENSCATT00000037367.1","ENSCCAT00000040959.1","ENSCJAT00000001091.4","ENSCSAT00000013359.1","ENSGGOT00000026698.2","ENSMFAT00000061277.1","ENSMLET00000036003.1","ENSMMUT00000005486.4","ENSMICT00000000027.3","ENSMNET00000049242.1","ENSNLET00000008955.2","ENSOGAT00000013800.2","ENSPPYT00000012933.1","ENSPANT00000027492.2","ENSPCOT00000020408.1","ENSPPAT00000052968.1","ENSPSMT00000021349.1","ENSPTET00000015828.1","ENSPTRT00000076852.1","ENSRBIT00000056130.1","ENSRROT00000049927.1","ENSSBOT00000044032.1","ENSTGET00000021502.1","ENSTSYT00000038555.1",0
"ENSG00000101126","ADNP","ENST00000621696.5","ENSANAT00000054631.1","ENSCANT00000039470.1","ENSCATT00000068335.1","ENSCCAT00000050489.1","ENSCJAT00000063126.2","ENSCSAT00000013302.1","ENSGGOT00000003138.3","ENSMFAT00000004876.1","ENSMLET00000042127.1","ENSMMUT00000103540.1","ENSMICT00000050991.2","ENSMNET00000064112.1","ENSNLET00000032116.2","ENSOGAT00000005384.2","ENSPPYT00000012925.2","ENSPANT00000007383.3","ENSPCOT00000017308.1","ENSPPAT00000047927.1","ENSPSMT00000021041.1","ENSPTET00000016920.1","ENSPTRT00000025386.3","ENSRBIT00000031072.1","ENSRROT00000037366.1","ENSSBOT00000048341.1","ENSTGET00000022092.1","ENSTSYT00000044145.1",0
"ENSG00000101144","BMP7","ENST00000395863.8","ENSANAT00000056465.1","ENSCANT00000046363.1","ENSCATT00000006593.1","ENSCCAT00000026323.1","ENSCJAT00000079074.2","ENSCSAT00000013542.1","ENSGGOT00000003823.3","ENSMFAT00000068893.1",NA,"ENSMMUT00000005783.4","ENSMICT00000066349.1","ENSMNET00000008196.1","ENSNLET00000008998.2","ENSOGAT00000014639.2",NA,"ENSPANT00000023803.2","ENSPCOT00000012738.1","ENSPPAT00000041671.1","ENSPSMT00000000853.1","ENSPTET00000012738.1","ENSPTRT00000025446.3","ENSRBIT00000066970.1","ENSRROT00000009436.1","ENSSBOT00000042788.1","ENSTGET00000019780.1","ENSTSYT00000043180.1",2
"ENSG00000101158","NELFCD","ENST00000652272.2","ENSANAT00000043807.1","ENSCANT00000048055.1","ENSCATT00000050462.1","ENSCCAT00000048567.1","ENSCJAT00000037130.4","ENSCSAT00000013680.1","ENSGGOT00000052820.1","ENSMFAT00000023604.1","ENSMLET00000014042.1","ENSMMUT00000064699.2","ENSMICT00000026398.2","ENSMNET00000041787.1","ENSNLET00000012201.2","ENSOGAT00000014271.2","ENSPPYT00000012981.1","ENSPANT00000007203.2","ENSPCOT00000022792.1","ENSPPAT00000063259.1","ENSPSMT00000040061.1","ENSPTET00000009419.1","ENSPTRT00000025498.3","ENSRBIT00000065086.1","ENSRROT00000041172.1","ENSSBOT00000031836.1","ENSTGET00000017044.1","ENSTSYT00000045127.1",0
"ENSG00000101161","PRPF6","ENST00000266079.5","ENSANAT00000016262.1","ENSCANT00000052461.1","ENSCATT00000052603.1","ENSCCAT00000031241.1","ENSCJAT00000020737.3","ENSCSAT00000014797.1","ENSGGOT00000043758.1","ENSMFAT00000027441.1",NA,"ENSMMUT00000021821.4","ENSMICT00000040976.2","ENSMNET00000070705.1","ENSNLET00000040018.1","ENSOGAT00000007578.2","ENSPPYT00000013072.2","ENSPANT00000017714.2","ENSPCOT00000021389.1","ENSPPAT00000009828.1","ENSPSMT00000000789.1","ENSPTET00000010365.1","ENSPTRT00000025690.4","ENSRBIT00000064416.1","ENSRROT00000059371.1","ENSSBOT00000024135.1","ENSTGET00000011962.1","ENSTSYT00000007896.2",1
"ENSG00000101189","MRGBP","ENST00000370487.5",NA,NA,"ENSCATT00000051084.1",NA,"ENSCJAT00000079645.2","ENSCSAT00000014190.1","ENSGGOT00000017077.3","ENSMFAT00000007857.1",NA,"ENSMMUT00000066219.2","ENSMICT00000068291.1","ENSMNET00000054802.1",NA,"ENSOGAT00000011184.2",NA,"ENSPANT00000024542.2","ENSPCOT00000033624.1",NA,"ENSPSMT00000027537.1","ENSPTET00000001981.1","ENSPTRT00000025586.6","ENSRBIT00000046623.1",NA,NA,"ENSTGET00000014343.1",NA,10
"ENSG00000101190","TCFL5","ENST00000335351.8",NA,NA,"ENSCATT00000018491.1","ENSCCAT00000051311.1","ENSCJAT00000096294.1",NA,"ENSGGOT00000017100.3",NA,NA,"ENSMMUT00000011501.4",NA,"ENSMNET00000062037.1",NA,NA,NA,"ENSPANT00000039315.1",NA,NA,NA,"ENSPTET00000002429.1",NA,NA,NA,NA,"ENSTGET00000014010.1",NA,17
"ENSG00000101191","DIDO1","ENST00000395343.6","ENSANAT00000055941.1","ENSCANT00000037515.1","ENSCATT00000041884.1","ENSCCAT00000051341.1","ENSCJAT00000007368.3","ENSCSAT00000014304.1","ENSGGOT00000033306.2","ENSMFAT00000026967.1","ENSMLET00000043744.1","ENSMMUT00000027116.4",NA,"ENSMNET00000048991.1","ENSNLET00000012732.3",NA,"ENSPPYT00000013029.2","ENSPANT00000014202.3",NA,"ENSPPAT00000047763.1",NA,"ENSPTET00000002743.1","ENSPTRT00000025602.5","ENSRBIT00000032758.1","ENSRROT00000067954.1","ENSSBOT00000040206.1","ENSTGET00000013924.1",NA,5
"ENSG00000101216","GMEB2","ENST00000370077.2","ENSANAT00000031814.1","ENSCANT00000040854.1","ENSCATT00000025466.1","ENSCCAT00000051408.1","ENSCJAT00000020050.3","ENSCSAT00000014521.1","ENSGGOT00000008692.3","ENSMFAT00000005625.1","ENSMLET00000054367.1","ENSMMUT00000079006.2","ENSMICT00000064727.1","ENSMNET00000070641.1","ENSNLET00000012912.3","ENSOGAT00000008829.2","ENSPPYT00000013055.2","ENSPANT00000007207.2","ENSPCOT00000007943.1","ENSPPAT00000026770.1","ENSPSMT00000001653.1","ENSPTET00000007230.1","ENSPTRT00000025644.5",NA,"ENSRROT00000038104.1","ENSSBOT00000031783.1","ENSTGET00000012699.1","ENSTSYT00000037171.1",1
"ENSG00000101236","RNF24","ENST00000358395.11","ENSANAT00000036683.1","ENSCANT00000042602.1","ENSCATT00000058289.1","ENSCCAT00000037550.1","ENSCJAT00000085153.1","ENSCSAT00000011007.1","ENSGGOT00000014745.3","ENSMFAT00000066842.1","ENSMLET00000051662.1","ENSMMUT00000102927.1","ENSMICT00000059776.1","ENSMNET00000053636.1","ENSNLET00000043119.1","ENSOGAT00000008113.2","ENSPPYT00000012547.1","ENSPANT00000035502.1","ENSPCOT00000037816.1","ENSPPAT00000045584.1","ENSPSMT00000019740.1","ENSPTET00000009053.1","ENSPTRT00000110331.1","ENSRBIT00000023938.1","ENSRROT00000068264.1","ENSSBOT00000052310.1","ENSTGET00000019914.1","ENSTSYT00000034279.1",0
"ENSG00000101255","TRIB3","ENST00000217233.8","ENSANAT00000043013.1","ENSCANT00000039357.1","ENSCATT00000049314.1","ENSCCAT00000035956.1","ENSCJAT00000052326.3","ENSCSAT00000010947.1","ENSGGOT00000007611.3","ENSMFAT00000029175.1","ENSMLET00000058503.1","ENSMMUT00000074663.2","ENSMICT00000041979.2","ENSMNET00000065887.1","ENSNLET00000012151.3","ENSOGAT00000015390.2","ENSPPYT00000012618.2","ENSPANT00000051460.1","ENSPCOT00000000894.1","ENSPPAT00000035317.1","ENSPSMT00000004782.1","ENSPTET00000050820.1","ENSPTRT00000024390.6","ENSRBIT00000056186.1","ENSRROT00000069144.1","ENSSBOT00000024923.1","ENSTGET00000013398.1","ENSTSYT00000037523.1",0
"ENSG00000101346","POFUT1","ENST00000375749.8","ENSANAT00000024529.1","ENSCANT00000047054.1","ENSCATT00000062080.1","ENSCCAT00000040210.1","ENSCJAT00000040744.2","ENSCSAT00000010727.1","ENSGGOT00000012912.3","ENSMFAT00000014582.1","ENSMLET00000053234.1","ENSMMUT00000104159.1","ENSMICT00000015950.3","ENSMNET00000048037.1","ENSNLET00000012504.2","ENSOGAT00000005513.2","ENSPPYT00000012659.1","ENSPANT00000003854.2","ENSPCOT00000038226.1","ENSPPAT00000048858.1","ENSPSMT00000007278.1",NA,"ENSPTRT00000024842.3","ENSRBIT00000033417.1","ENSRROT00000041101.1","ENSSBOT00000030237.1","ENSTGET00000011805.1","ENSTSYT00000008613.2",1
"ENSG00000101412","E2F1","ENST00000343380.6","ENSANAT00000041251.1","ENSCANT00000053992.1","ENSCATT00000057043.1","ENSCCAT00000045558.1","ENSCJAT00000036125.3","ENSCSAT00000010345.1","ENSGGOT00000003608.3","ENSMFAT00000004678.1","ENSMLET00000004968.1","ENSMMUT00000033125.4","ENSMICT00000006919.3","ENSMNET00000029751.1","ENSNLET00000012795.3","ENSOGAT00000028650.1","ENSPPYT00000012685.2","ENSPANT00000013628.2","ENSPCOT00000028844.1","ENSPPAT00000028705.1","ENSPSMT00000029856.1","ENSPTET00000010283.1","ENSPTRT00000094924.1","ENSRBIT00000041970.1","ENSRROT00000055716.1","ENSSBOT00000041837.1","ENSTGET00000009097.1","ENSTSYT00000030669.1",0
"ENSG00000101442","ACTR5","ENST00000243903.6","ENSANAT00000017326.1","ENSCANT00000062982.1",NA,"ENSCCAT00000026914.1","ENSCJAT00000022311.3","ENSCSAT00000011993.1","lcl|XM_031005015.1_cds_XP_030860875.1_1 ","ENSMFAT00000023061.1","ENSMLET00000051724.1","ENSMMUT00000004776.4","ENSMICT00000013236.3","ENSMNET00000014624.1","ENSNLET00000008172.3","ENSOGAT00000000949.2","ENSPPYT00000012770.2","ENSPANT00000023282.2","ENSPCOT00000039343.1","ENSPPAT00000006995.1","ENSPSMT00000042289.1","ENSPTET00000025285.1","ENSPTRT00000025100.4","ENSRBIT00000060746.1","ENSRROT00000063965.1","ENSSBOT00000033674.1","ENSTGET00000000541.1","ENSTSYT00000003213.2",1
"ENSG00000101493","ZNF516","ENST00000443185.7","ENSANAT00000030858.1","ENSCANT00000035935.1","ENSCATT00000047434.1","ENSCCAT00000037401.1","ENSCJAT00000056593.2","ENSCSAT00000016333.1","ENSGGOT00000004019.3","ENSMFAT00000009452.1","ENSMLET00000030170.1","ENSMMUT00000024485.4","ENSMICT00000000045.3","ENSMNET00000004268.1","ENSNLET00000011898.3","ENSOGAT00000034974.1","ENSPPYT00000010793.2","ENSPANT00000042731.1","ENSPCOT00000015964.1","ENSPPAT00000041483.1","ENSPSMT00000032053.1","ENSPTET00000041866.1","ENSPTRT00000018563.5",NA,"ENSRROT00000065692.1","ENSSBOT00000038488.1","ENSTGET00000009166.1","ENSTSYT00000012229.2",1
"ENSG00000101544","ADNP2","ENST00000262198.9","ENSANAT00000051594.1","ENSCANT00000035784.1","ENSCATT00000048975.1","ENSCCAT00000058198.1","ENSCJAT00000019653.4","ENSCSAT00000016355.1","ENSGGOT00000003567.3","ENSMFAT00000019033.1","ENSMLET00000042400.1","ENSMMUT00000019249.4","ENSMICT00000032007.2","ENSMNET00000005759.1","ENSNLET00000010734.2","ENSOGAT00000033669.1","ENSPPYT00000010812.2","ENSPANT00000000603.2","ENSPCOT00000018197.1","ENSPPAT00000033705.1","ENSPSMT00000040099.1","ENSPTET00000039849.1","ENSPTRT00000018596.3","ENSRBIT00000039487.1","ENSRROT00000008444.1","ENSSBOT00000055633.1","ENSTGET00000011549.1","ENSTSYT00000008924.2",0
"ENSG00000101665","SMAD7","ENST00000262158.7","ENSANAT00000038479.1","ENSCANT00000024279.1","ENSCATT00000053068.1","ENSCCAT00000048673.1","ENSCJAT00000086428.2","ENSCSAT00000016122.1",NA,"ENSMFAT00000030763.1",NA,"ENSMMUT00000084286.1","ENSMICT00000044751.2","ENSMNET00000057238.1",NA,"ENSOGAT00000013936.2","ENSPPYT00000010684.2","ENSPANT00000014861.2","ENSPCOT00000003627.1",NA,"ENSPSMT00000030918.1","ENSPTET00000026247.1","ENSPTRT00000018370.4","ENSRBIT00000051988.1",NA,"ENSSBOT00000041626.1","ENSTGET00000039135.1",NA,6
"ENSG00000101695","RNF125","ENST00000217740.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ENSMICT00000067088.1",NA,NA,NA,NA,NA,NA,NA,"ENSPSMT00000025152.1",NA,NA,NA,NA,NA,NA,"ENSTSYT00000000849.2",23
"ENSG00000101773","RBBP8","ENST00000327155.10","ENSANAT00000023980.1","ENSCANT00000017400.1","ENSCATT00000005593.1","ENSCCAT00000021126.1","ENSCJAT00000076830.2","ENSCSAT00000015763.1","ENSGGOT00000029882.2","ENSMFAT00000068713.1","ENSMLET00000064513.1","ENSMMUT00000074216.2","ENSMICT00000026726.2","ENSMNET00000060814.1","ENSNLET00000008667.3","ENSOGAT00000007912.2","ENSPPYT00000010573.2","ENSPANT00000008707.2","ENSPCOT00000022631.1","ENSPPAT00000027700.1","ENSPSMT00000018534.1","ENSPTET00000051849.1","ENSPTRT00000050319.5","ENSRBIT00000067036.1","ENSRROT00000012520.1","ENSSBOT00000043866.1","ENSTGET00000023708.1","ENSTSYT00000012847.2",0
"ENSG00000101849","TBL1X","ENST00000645353.2","ENSANAT00000048534.1","ENSCANT00000046951.1","ENSCATT00000011695.1","ENSCCAT00000034554.1","ENSCJAT00000102584.1","ENSCSAT00000013440.1","ENSGGOT00000007577.3","ENSMFAT00000039273.1","ENSMLET00000048036.1","ENSMMUT00000008662.4",NA,"ENSMNET00000034729.1","ENSNLET00000045806.1",NA,"ENSPPYT00000023455.2","ENSPANT00000010003.2","ENSPCOT00000036518.1","ENSPPAT00000058126.1","ENSPSMT00000003533.1","ENSPTET00000046043.1","ENSPTRT00000094482.1","ENSRBIT00000032381.1","ENSRROT00000036425.1","ENSSBOT00000017190.1","ENSTGET00000020249.1","ENSTSYT00000035741.1",2
"ENSG00000101871","MID1","ENST00000317552.9","ENSANAT00000024237.1","ENSCANT00000038733.1","ENSCATT00000033858.1","ENSCCAT00000040286.1","ENSCJAT00000001821.3","ENSCSAT00000013362.1","ENSGGOT00000003779.3","ENSMFAT00000006569.1","ENSMLET00000044741.1","ENSMMUT00000007921.4","ENSMICT00000039403.2","ENSMNET00000029475.1","ENSNLET00000011452.2","ENSOGAT00000014955.2","ENSPPYT00000023460.2","ENSPANT00000048128.1","ENSPCOT00000025302.1","ENSPPAT00000053376.1","ENSPSMT00000035045.1","ENSPTET00000046624.1","ENSPTRT00000040155.6","ENSRBIT00000050176.1",NA,"ENSSBOT00000020305.1","ENSTGET00000021160.1","ENSTSYT00000029687.1",1
"ENSG00000101883","RHOXF1","ENST00000217999.3",NA,NA,NA,NA,NA,NA,"ENSGGOT00000016165.3",NA,NA,NA,NA,NA,"lcl|XM_030807028.1_cds_XP_030662888.1_1 ",NA,"ENSPPYT00000024118.2",NA,NA,"ENSPPAT00000030942.1",NA,NA,"ENSPTRT00000094278.1",NA,NA,NA,NA,NA,21
"ENSG00000101945","SUV39H1","ENST00000376687.4","ENSANAT00000025736.1","ENSCANT00000034991.1","ENSCATT00000049558.1","ENSCCAT00000005416.1","ENSCJAT00000004562.4","ENSCSAT00000011309.1","ENSGGOT00000030354.2","ENSMFAT00000004038.1","ENSMLET00000047377.1","ENSMMUT00000013170.4","ENSMICT00000034790.2","ENSMNET00000014976.1","ENSNLET00000034617.1","ENSOGAT00000031928.1","ENSPPYT00000023705.2","ENSPANT00000019859.2","ENSPCOT00000036299.1","ENSPPAT00000036440.1","ENSPSMT00000028266.1","ENSPTET00000019589.1","ENSPTRT00000093630.1","ENSRBIT00000053660.1","ENSRROT00000038854.1","ENSSBOT00000003574.1","ENSTGET00000005730.1","ENSTSYT00000004609.2",0
"ENSG00000102034","ELF4","ENST00000308167.10","ENSANAT00000047472.1","ENSCANT00000033380.1","ENSCATT00000060580.1","ENSCCAT00000031005.1","ENSCJAT00000004990.3","ENSCSAT00000006059.1","ENSGGOT00000015917.3","ENSMFAT00000020922.1","ENSMLET00000062929.1","ENSMMUT00000106738.1","ENSMICT00000041685.2","ENSMNET00000064486.1","ENSNLET00000019475.2","ENSOGAT00000012763.2","ENSPPYT00000024158.2","ENSPANT00000007638.3","ENSPCOT00000029007.1","ENSPPAT00000064086.1","ENSPSMT00000029794.1",NA,"ENSPTRT00000088010.1","ENSRBIT00000066084.1","ENSRROT00000042785.1","ENSSBOT00000057573.1","ENSTGET00000033818.1","ENSTSYT00000009102.2",1
"ENSG00000102038","SMARCA1","ENST00000371121.5","ENSANAT00000028538.1","ENSCANT00000011018.1","ENSCATT00000019612.1","ENSCCAT00000044273.1","ENSCJAT00000005570.4","ENSCSAT00000006510.1",NA,"ENSMFAT00000024100.1","ENSMLET00000062007.1","ENSMMUT00000012328.3","ENSMICT00000046414.2","ENSMNET00000062232.1","ENSNLET00000057446.1","ENSOGAT00000004403.2","ENSPPYT00000024145.2","ENSPANT00000045167.1",NA,"ENSPPAT00000045935.1",NA,"ENSPTET00000049856.1","ENSPTRT00000096183.1",NA,"ENSRROT00000044740.1","ENSSBOT00000024694.1","ENSTGET00000033062.1","ENSTSYT00000038186.1",4
"ENSG00000102048","ASB9","ENST00000380488.9",NA,"ENSCANT00000040284.1","ENSCATT00000050643.1","ENSCCAT00000032123.1","ENSCJAT00000007943.3","ENSCSAT00000013075.1","ENSGGOT00000003052.3","ENSMFAT00000070495.1","ENSMLET00000055545.1","lcl|XM_028841969.1_cds_XP_028697802.1_1 ",NA,"ENSMNET00000035101.1","ENSNLET00000011929.2",NA,"ENSPPYT00000023488.1","ENSPANT00000040477.1","ENSPCOT00000029925.1","ENSPPAT00000064922.1",NA,"ENSPTET00000003318.1","ENSPTRT00000040205.5","ENSRBIT00000054838.1","ENSRROT00000034739.1","ENSSBOT00000031654.1","ENSTGET00000023885.1","ENSTSYT00000013429.2",4
"ENSG00000102054","RBBP7","ENST00000380087.7","ENSANAT00000058667.1","ENSCANT00000004758.1","ENSCATT00000064671.1","ENSCCAT00000026969.1","ENSCJAT00000008804.3","ENSCSAT00000012894.1",NA,"ENSMFAT00000010593.1","ENSMLET00000039630.1","ENSMMUT00000048172.3","ENSMICT00000054627.2","ENSMNET00000038403.1","ENSNLET00000032291.2","ENSOGAT00000015003.2","ENSPPYT00000023506.1","ENSPANT00000027737.2","ENSPCOT00000033648.1","ENSPPAT00000050017.1","ENSPSMT00000013576.1","ENSPTET00000005931.1","ENSPTRT00000100496.1","ENSRBIT00000051103.1","ENSRROT00000061252.1","ENSSBOT00000052123.1","ENSTGET00000025389.1","ENSTSYT00000040444.1",1
"ENSG00000102081","FMR1","ENST00000370475.9","ENSANAT00000035989.1","ENSCANT00000045254.1","ENSCATT00000055335.1","ENSCCAT00000026834.1","ENSCJAT00000102716.1","ENSCSAT00000005328.1","ENSGGOT00000010418.3","ENSMFAT00000021201.1","ENSMLET00000047587.1","ENSMMUT00000055789.2","ENSMICT00000037876.2","ENSMNET00000027643.1","ENSNLET00000055834.1","ENSOGAT00000013065.2","ENSPPYT00000024253.2","ENSPANT00000039815.1","ENSPCOT00000042705.1","ENSPPAT00000061854.1","ENSPSMT00000001908.1","ENSPTET00000023931.1","ENSPTRT00000041687.4","ENSRBIT00000034033.1","ENSRROT00000067419.1","ENSSBOT00000037912.1","ENSTGET00000009578.1","ENSTSYT00000044793.1",0
"ENSG00000102098","SCML2","ENST00000251900.9","ENSANAT00000023531.1","ENSCANT00000005258.1","ENSCATT00000056042.1","ENSCCAT00000041431.1","ENSCJAT00000011390.3","ENSCSAT00000012831.1","ENSGGOT00000016018.3","ENSMFAT00000004845.1","ENSMLET00000007861.1","ENSMMUT00000007173.4",NA,"ENSMNET00000012457.1","ENSNLET00000012344.2",NA,"ENSPPYT00000023516.1","ENSPANT00000001812.2",NA,"ENSPPAT00000057092.1",NA,NA,"ENSPTRT00000050722.5",NA,NA,"ENSSBOT00000030232.1","ENSTGET00000026066.1",NA,8
"ENSG00000102103","PQBP1","ENST00000447146.7","ENSANAT00000037280.1","ENSCANT00000016156.1","ENSCATT00000067713.1","ENSCCAT00000051685.1","ENSCJAT00000004752.4","ENSCSAT00000011251.1","ENSGGOT00000011476.3","ENSMFAT00000064329.1","ENSMLET00000032935.1","ENSMMUT00000100884.1","ENSMICT00000061926.1","ENSMNET00000047616.1","ENSNLET00000010119.2","ENSOGAT00000009606.2","ENSPPYT00000023713.2","ENSPANT00000048824.1","ENSPCOT00000015798.1","ENSPPAT00000054722.1","ENSPSMT00000027998.1","ENSPTET00000002350.1","ENSPTRT00000102021.1","ENSRBIT00000042588.1","ENSRROT00000041414.1","ENSSBOT00000033239.1","ENSTGET00000005073.1","ENSTSYT00000009957.2",0
"ENSG00000102145","GATA1","ENST00000376670.9","ENSANAT00000046635.1","ENSCANT00000032324.1","ENSCATT00000029354.1","ENSCCAT00000046971.1","ENSCJAT00000067572.2","ENSCSAT00000011294.1","ENSGGOT00000032012.2","ENSMFAT00000068220.1","ENSMLET00000037554.1","ENSMMUT00000023125.4","ENSMICT00000035534.2","ENSMNET00000066647.1","ENSNLET00000010061.2","ENSOGAT00000031021.1",NA,"ENSPANT00000021709.2","ENSPCOT00000030315.1","ENSPPAT00000046212.1","ENSPSMT00000028235.1","ENSPTET00000019244.1","ENSPTRT00000111339.1","ENSRBIT00000029952.1","ENSRROT00000046601.1","ENSSBOT00000023364.1","ENSTGET00000005566.1","ENSTSYT00000003674.2",1
"ENSG00000102189","EEA1","ENST00000322349.13","ENSANAT00000009264.1","ENSCANT00000029352.1","ENSCATT00000070104.1","ENSCCAT00000030221.1","ENSCJAT00000075191.2","ENSCSAT00000001751.1","ENSGGOT00000030972.2","ENSMFAT00000000119.1","ENSMLET00000055090.1","ENSMMUT00000106011.1","ENSMICT00000044969.2","ENSMNET00000002804.1","ENSNLET00000007211.2","ENSOGAT00000001280.2","ENSPPYT00000005721.1","ENSPANT00000009809.2",NA,"ENSPPAT00000061149.1","ENSPSMT00000019897.1","ENSPTET00000056048.1","ENSPTRT00000098712.1","ENSRBIT00000042461.1","ENSRROT00000043126.1","ENSSBOT00000045870.1","ENSTGET00000002117.1","ENSTSYT00000011771.2",1
"ENSG00000102221","JADE3","ENST00000614628.5","ENSANAT00000054639.1","ENSCANT00000060588.1","ENSCATT00000060555.1","ENSCCAT00000033400.1","ENSCJAT00000023413.4","ENSCSAT00000011862.1","ENSGGOT00000005956.3","ENSMFAT00000021280.1","ENSMLET00000033569.1","ENSMMUT00000094022.1","ENSMICT00000061421.1","ENSMNET00000048643.1","ENSNLET00000003750.2","ENSOGAT00000000789.2","ENSPPYT00000023660.2","ENSPANT00000008191.2","ENSPCOT00000042393.1","ENSPPAT00000046173.1","ENSPSMT00000024668.1","ENSPTET00000017989.1","ENSPTRT00000087006.1","ENSRBIT00000055649.1","ENSRROT00000042679.1","ENSSBOT00000030991.1","ENSTGET00000008971.1","ENSTSYT00000005096.2",0
"ENSG00000102241","HTATSF1","ENST00000218364.5",NA,"ENSCANT00000033042.1","ENSCATT00000035582.1","ENSCCAT00000027311.1","ENSCJAT00000007076.4","ENSCSAT00000005549.1","ENSGGOT00000029181.2","ENSMFAT00000000723.1","ENSMLET00000046109.1","ENSMMUT00000009046.4","ENSMICT00000009345.3","ENSMNET00000026373.1","ENSNLET00000003531.3","ENSOGAT00000005568.2","ENSPPYT00000024220.2","ENSPANT00000027267.2","ENSPCOT00000030380.1","ENSPPAT00000026741.1",NA,"ENSPTET00000019628.1","ENSPTRT00000111296.1","ENSRBIT00000047014.1","ENSRROT00000024334.1","ENSSBOT00000038100.1","ENSTGET00000004764.1","ENSTSYT00000039360.1",2
